,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0.1,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
356,1546,112,Co0.2 Cr0.2 Fe1 Mn0.6,No Data,CAST,,,,296.0,,,,,,,,,,,10.1016/j.msea.2019.01.088,2019,1546,Co0.2 Cr0.2 Fe1 Mn0.6,SS+IM,FCC_L12#1,SIGMA#1,,,,0.3735369152552358,0.6264630847447642,,,,Co0.2 Cr0.2 Fe1 Mn0.6,1339.13,1351.38,7535.195442513062,0.0,85.86127712152206,32270.37671233261,-77031.02906336499,,0.1,0.5,,,0.1,0.3,,,,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,7.783528107977707,213.7,4.39,1756.0,0.037379999999999976,127.561,0.038268967002891605,60.0,155.0,2.583333333333333,7.6,1.1682824501765623,81.0,1.6438609740772767,661.0,10.879999999999995,115.0,60.0,3.0
357,1547,112,B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,No Data,CAST,,,,282.0,,,,,,,,,,,10.1016/j.msea.2019.01.088,2019,1547,B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,SS+IM,FCC_L12#1,M2B_TETR#1,SIGMA#1,,,0.3698668163433281,0.00821951155428847,0.6219136721023836,,,B0.006 Co0.201 Cr0.201 Fe1 Mn0.604,1093.49,1347.53,7524.24559384246,0.0,85.74180097591865,31975.20723431032,-77174.10540803419,,0.09990059642147116,0.4970178926441352,,,0.09990059642147116,0.3001988071570577,,,,,,,,0.002982107355864811,,,,,,,,No Data,0,0,0,0,0,0,1,0,7.767274452377317,213.0616302186879,37.60685884691849,1757.510934393638,0.0598471801398369,127.43738071570576,0.042965176180998516,59.73658051689861,155.43737574552685,2.6020467592977785,7.5849900596421485,1.1863113580636249,279.0,6.373147640302856,829.0,53.0,115.0,200.0,6.0
358,1548,112,B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,No Data,CAST,,,,306.0,,,,,,,,,,,10.1016/j.msea.2019.01.088,2019,1548,B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,SS+IM,FCC_L12#1,M2B_TETR#1,SIGMA#1,,,0.3665994122292424,0.016365633624716717,0.6170349541460408,,,B0.012 Co0.202 Cr0.202 Fe1 Mn0.607,1093.59,1343.79,7513.508536989836,0.0,85.62311606060027,31686.819368187484,-77311.40737695666,,0.0998517053880376,0.4943153732081069,,,0.0998517053880376,0.30004943153732083,,,,,,,,0.0059317844784972824,,,,,,,,No Data,0,0,0,0,0,0,1,0,7.751350283038943,212.4379634206624,70.4636678200692,1759.1225902125561,0.0819383613408726,127.31142857142858,0.047138157625938634,59.5056846267919,155.8872960949086,2.619704269812261,7.5704399406821565,1.2000326924802542,279.0,6.373147640302856,829.0,53.0,115.0,200.0,6.0
359,1549,112,B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,No Data,CAST,,,,452.0,,,,,,,,,,,10.1016/j.msea.2019.01.088,2019,1549,B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,SS+IM,FCC_L12#1,M2B_TETR#1,SIGMA#1,,,0.3503022077985603,0.04679534283653484,0.6029024493649049,,,B0.035 Co0.207 Cr0.207 Fe1 Mn0.621,1093.85,1328.93,7475.049586729102,0.0,85.17962595972338,30591.14502898016,-77842.51881774771,,0.1,0.4830917874396136,,,0.1,0.30000000000000004,,,,,,,,0.016908212560386476,,,,,,,,No Data,0,0,0,0,0,0,1,0,7.6919793646075485,210.13236714975847,192.74444444444447,1765.0797101449273,0.16312196597353498,126.84882608695654,0.060152480327647785,58.61352657004832,157.53623188405797,2.687711200857166,7.515458937198068,1.2421663773575695,279.0,6.373147640302856,829.0,53.0,115.0,200.0,6.0
368,1563,118,Co1 Cr1 Fe1 Mo0.149 Ni1,No Data,POWDER,,,,210.0,,,,,,,,,,,10.3390/met9030351,,1563,Co1 Cr1 Fe1 Mo0.149 Ni1,SS+IM,FCC_L12#1,SIGMA#1,,,,0.8273606508072894,0.17263934919271054,,,,Co1 Cr1 Fe1 Mo0.149 Ni1,1415.09,1420.97,7897.781244016921,0.0,86.35153491172207,33623.88602102364,-76301.61792159858,,0.24102193299590266,0.24102193299590266,0.24102193299590266,,0.24102193299590266,,,0.035912268016389484,,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,8.275623380284022,228.49385394070862,16.28585201253314,1908.5331405157867,0.28463854930008103,125.0958640636298,0.01746905754996503,84.5938780429019,174.56495541094242,2.063564875491481,8.169197396963124,1.4912374394424313,129.0,3.03644374452574,1168.0,12.139999999999983,95.0,70.0,4.0
369,1572,120,Co1 Cr1 Cu1 Ni1 Zn1,FCC,POWDER,500.0,,7.89,615.0,C,25.0,,,,,,,,,10.3390/e21020122,,1572,Co1 Cr1 Cu1 Ni1 Zn1,SS+IM,FCC_L12#1,LIQUID#1,,,,0.5788069565637924,0.4211930434362076,,,,Co1 Cr1 Cu1 Ni1 Zn1,941.55,1231.81,7423.582875064229,0.0,89.24756204139221,33343.570645284635,-80268.57583340762,,0.2,,0.2,,0.2,,,,,0.2,,,,,,,,,0.2,,,FCC,0,0,0,1,0,0,0,0,8.201961259963738,185.2,12.000000000000002,1545.2300000000002,0.8776160000000001,128.37,0.04407287955543238,71.4,146.0,2.044817927170868,9.6,1.6094379124341005,171.0,1.7999981574631967,1487.47,14.859999999999983,72.0,110.0,6.0
371,1575,121,Nb1 Ta1 Ti1,BCC,CAST,500.0,,,246.0,T,25.0,620.0,683.0,18.5,,143.0,,,,10.3390/e21020114,,1575,Nb1 Ta1 Ti1,SS,BCC_B2#1,,,,,1.0,,,,,Nb1 Ta1 Ti1,2171.37,2359.79,9734.82619165181,0.0,86.46847759442842,31775.54405441593,-78298.82792329145,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,0.3333333333333333,,,,,,BCC,1,0,0,0,0,0,0,0,9.919240154716162,135.66666666666666,197.0,2660.333333333333,0.008955555555555491,144.01666666666662,0.01047827885144325,50.33333333333333,159.99999999999997,3.178807947019868,4.666666666666666,1.0986122886681096,81.0,12.175346107203493,1349.0,3.25,31.0,90.0,1.0
372,1576,121,Ta1 Ti1 Zr1,No Data,CAST,500.0,,,485.0,T,25.0,,284.0,0.0,,157.0,,,,10.3390/e21020114,,1576,Ta1 Ti1 Zr1,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.2908458560166763,0.7091541439833237,,,,Ta1 Ti1 Zr1,1707.35,1877.49,8819.453087380549,0.0,88.13714133600426,34048.28003058029,-78150.30089015311,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,0.3333333333333333,,,,,,No Data,0,0,0,0,0,0,1,0,9.22850830218522,123.33333333333331,660.3333333333333,2452.9,2.3908222222222206,149.79999999999995,0.0500689808139269,48.66666666666666,132.99999999999997,2.7328767123287667,4.333333333333333,1.0986122886681096,118.0,12.175346107203493,1349.0,17.25,36.0,111.0,1.0
374,1579,121,Nb0.333 Ta0.667 Ti0.667 Zr1,No Data,CAST,500.0,,,489.0,T,25.0,,843.0,0.0,,93.0,,,,10.3390/e21020114,,1579,Nb0.333 Ta0.667 Ti0.667 Zr1,SS+IM,BCC_B2#1,BCC_B2#4,,,,0.26953592856381503,0.7304640714361851,,,,Nb0.333 Ta0.667 Ti0.667 Zr1,1729.31,1918.75,8423.937906028375,0.0,89.9963612456043,34155.19953260299,-80410.16833305129,,,,,,,,0.12485939257592805,,0.2500937382827147,,,,0.3749531308586427,,,0.2500937382827147,,,,,,No Data,0,0,0,0,0,0,1,0,8.807484647289494,114.13535808023998,713.9396325459319,2449.391451068617,2.4939316579240858,150.24325084364457,0.05223487078688613,45.37870266216724,132.1259842519685,2.911629828547821,4.374953130858643,1.3208097681276207,118.0,12.175346107203493,1349.0,17.349999999999994,36.0,111.0,1.0
375,1585,123,Al0.774 Fe1 Mn0.903 Ni0.484,No Data,CAST,,,,310.0,,,,,,,,,,,10.1155/2019/2157592,,1585,Al0.774 Fe1 Mn0.903 Ni0.484,SS,BCC_B2#2,,,,,1.0,,,,,Al0.774 Fe1 Mn0.903 Ni0.484,1486.69,1779.48,6019.3460931698255,5.5595513239571885e-06,81.39876645402519,7573.560459592249,-96047.0692363818,0.2448592217652641,,0.3163555836760519,0.1531161024992091,,,0.2856690920594748,,,,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,6.651681279867847,171.0768744068333,3.2616260677000946,1499.967946852262,1.6266186942230632,131.96461246440998,0.05926771417490913,43.94432141727301,134.2309395760835,3.0545684913755866,6.796267004112623,1.353876717680036,141.0,6.2092815083459785,877.68,19.049999999999983,82.0,104.0,7.0
376,1586,123,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,No Data,CAST,,,,330.0,,,,,,,,,,,10.1155/2019/2157592,,1586,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,SS,BCC_B2#2,,,,,1.0,,,,,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.026,1458.19,1763.15,6004.861557050784,5.588099843549947e-06,81.4983417219121,7300.0389338267405,-96447.35007816736,0.2428616253529965,,0.3137747097583935,0.15186695952306245,,,0.2833385629118293,,,0.00815814245371823,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,6.634142892325923,170.62754941951678,3.324756824599938,1503.5659491684976,1.678600235956219,132.08033887668657,0.05975982391966029,43.94477565108252,134.0332601192344,3.0500385571073605,6.773454659554441,1.390186748457019,141.0,6.2092815083459785,1007.68,22.03,82.0,104.0,7.0
377,1587,123,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,No Data,CAST,,,,500.0,,,,,,,,,,,10.1155/2019/2157592,,1587,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,SS,BCC_B2#2,,,,,1.0,,,,,Al0.774 Fe1 Mn0.903 Ni0.484 Ti0.097,1397.66,1720.02,5966.795251944996,5.6962478384829425e-06,81.44779366389605,6591.035639792034,-97092.00569434762,0.2375690607734807,,0.3069367710251688,0.1485573971761817,,,0.27716390423572745,,,0.029772866789441375,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,6.587675523784325,169.43707796193982,3.4920196439533453,1513.0987354205033,1.811134046739932,132.3869521178637,0.060975605186522674,43.94597912829956,133.50951503990177,3.038037101190144,6.713014119091468,1.4475196686457836,141.0,6.2092815083459785,1007.68,22.03,82.0,104.0,7.0
378,1600,128,Al0.5 Cr1 Cu1 Fe1 Ni1,FCC,CAST,,,,226.0,,,,,,,,,,,10.1007/s11665-018-3822-8,,1600,Al0.5 Cr1 Cu1 Fe1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,FCC_L12#1,LIQUID#1,,0.15291269322475745,0.04808415303955549,0.18348047291433509,0.6155226808213521,,Al0.5 Cr1 Cu1 Fe1 Ni1,966.61,1316.87,4509.493794900775,2.3556338357803025e-07,85.68304976471312,27679.408836623217,-81395.11351385657,0.1111111111111111,,0.2222222222222222,0.2222222222222222,,0.2222222222222222,,,,,0.2222222222222222,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.613918961136084,190.0,6.9288888888888875,1676.2844444444445,0.939506172839506,127.33444444444444,0.04524164699779205,74.2222222222222,152.88888888888889,2.0598802395209583,8.11111111111111,1.5810937501718234,209.0,6.239398742616035,1246.6799999999996,19.049999999999983,89.0,104.0,8.0
379,1629,130,C0.111 Co1 Cr1 Fe1 Ni1 W0.111,FCC,POWDER,0.0189,,7.24,475.0,,,,,,,,,,,10.3390/coatings9010016,,1629,C0.111 Co1 Cr1 Fe1 Ni1 W0.111,SS+IM,FCC_L12#1,M23C6#1,,,,0.8935161064588301,0.10648389354117001,,,,C0.111 Co1 Cr1 Fe1 Ni1 W0.111,1268.23,1389.57,8132.8534126026725,0.0,85.39678301676436,33149.5719734026,-75560.53280693844,,0.23685457129322599,0.23685457129322599,0.23685457129322599,,0.23685457129322599,,,,,,0.026290857413548085,,,,,,,0.026290857413548085,,,,FCC,0,0,0,1,0,0,0,0,8.341672585774688,223.73780198957843,13.384178114637615,1995.146139270488,0.3110119221887294,123.75035528185695,0.06367135009201709,86.65821885362391,172.44741828517292,1.9899718753331093,8.079109426811941,1.5558953935859337,411.0,17.143428356984447,3014.0,59.39999999999999,161.0,277.0,6.0
380,1630,130,C0.429 Co1 Cr1 Fe1 Ni1 W0.429,FCC,POWDER,0.0182,,8.39,531.0,,,,,,,,,,,10.3390/coatings9010016,,1630,C0.429 Co1 Cr1 Fe1 Ni1 W0.429,SS+IM,FCC_L12#1,HCP_A3#2,,,,0.7590054991112045,0.2409945008887955,,,,C0.429 Co1 Cr1 Fe1 Ni1 W0.429,1257.23,1345.09,8946.551254458753,0.0,81.26896061957487,29436.40518181463,-74018.98168690418,,0.2058460271716756,0.2058460271716756,0.2058460271716756,,0.2058460271716756,,,,,,0.08830794565664883,,,,,,,0.08830794565664883,,,,FCC,0,0,0,1,0,0,0,0,8.669040034404722,221.350144092219,14.7739810621655,2286.223342939481,0.8661810811314703,121.55743104158091,0.11673639848064117,85.85199670646355,172.32338410868667,2.007214633549844,7.675998353231781,1.7300965697579211,411.0,17.143428356984447,3014.0,59.39999999999999,161.0,277.0,6.0
