,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0.1,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
8,22,54,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.7,,110.0,,25.0,,,,,216.0,,,,10.1016/j.jallcom.2009.08.090,2009,22,Al0.25 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.04040812038026715,0.9595918796197328,,,,Al0.25 Co1 Cr1 Fe1 Ni1,1389.9,1409.31,7495.869433333303,1.8761608069534078e-07,86.52480119404949,28508.013327198267,-81638.05859282672,0.05882352941176471,0.2352941176470588,0.2352941176470588,0.2352941176470588,,0.2352941176470588,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.87908383562045,215.64705882352942,12.16,1816.5482352941174,0.6029121107266436,125.76764705882351,0.03471053848550318,83.41176470588233,166.82352941176467,2.0,7.9411764705882355,1.5284657100610246,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
9,24,54,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,7.5,,131.0,,25.0,,,,,211.0,,,,10.1016/j.jallcom.2009.08.090,2009,24,Al0.375 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.1753492790317233,0.8246507209682767,,,,Al0.375 Co1 Cr1 Fe1 Ni1,1357.26,1388.18,7409.9714754475735,2.0693990617772985e-07,84.88393220450439,24082.044391565123,-83975.20130476897,0.08571428571428573,0.2285714285714285,0.2285714285714285,0.2285714285714285,,0.2285714285714285,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.731057268888434,211.4857142857143,11.869714285714286,1791.3131428571426,0.8227186938775511,126.26485714285714,0.041090398092165685,81.77142857142857,164.22857142857143,2.008385744234801,7.8,1.5599775986391542,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
10,26,54,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.3,,159.0,,25.0,,,,,208.0,,,,10.1016/j.jallcom.2009.08.090,2009,26,Al0.5 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.29907376378102923,0.7009262362189708,,,,Al0.5 Co1 Cr1 Fe1 Ni1,1334.69,1365.91,7327.279190712255,2.3328231026532394e-07,83.34323446962159,19945.328556106284,-86150.608923722,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,,0.2222222222222222,,,,,,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.5912544003082,207.55555555555557,11.595555555555553,1767.4799999999998,1.0175111111111108,126.73444444444442,0.04593362709782833,80.2222222222222,161.77777777777774,2.0166204986149587,7.666666666666668,1.5810937501718234,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
11,28,54,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,ANNEAL,,7.0,,388.0,,25.0,,,,,200.0,,,,10.1016/j.jallcom.2009.08.090,2009,28,Al0.75 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.5283317029671619,0.4052263313511741,0.06644196568166401,,,Al0.75 Co1 Cr1 Fe1 Ni1,1332.44,1361.41,7190.213960099216,3.005330703026807e-07,80.21547599503197,12070.245504734092,-90044.05543694158,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.21052631578947367,,0.21052631578947367,,,,,,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.33372280029198,200.31578947368425,11.090526315789473,1723.576842105263,1.3437828254847644,127.59947368421051,0.05290643042436738,77.36842105263158,157.2631578947368,2.0326530612244897,7.421052631578947,1.6035681031705151,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
12,30,54,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.9,,538.0,,25.0,,,,,197.0,,,,10.1016/j.jallcom.2009.08.090,2009,30,Al0.875 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.6550771339961362,0.16243161106459625,0.18249125493926768,,,Al0.875 Co1 Cr1 Fe1 Ni1,1332.38,1385.49,7156.217462323907,3.239599908728236e-07,78.36756992049153,7960.543319644619,-91801.37318914107,0.1794871794871795,0.20512820512820512,0.20512820512820512,0.20512820512820512,,0.20512820512820512,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,7.214862061822956,196.9743589743589,10.857435897435897,1703.313846153846,1.4801357001972388,127.99871794871794,0.05549803505486536,76.05128205128204,155.17948717948718,2.0404585300067435,7.3076923076923075,1.6080872774849808,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
13,32,54,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,,6.5,,487.0,,25.0,,,,,188.0,,,,10.1016/j.jallcom.2009.08.090,2009,32,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.2419806159688559,0.7580193840311441,,,,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,1372.57,1440.92,6889.635141241202,6.972493730232177e-07,75.8026142139811,166.4175480344164,-96330.31034636352,0.2380952380952381,0.19047619047619047,0.19047619047619047,0.19047619047619047,,0.19047619047619047,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,6.8922400574070295,187.90476190476193,10.224761904761904,1648.3142857142857,1.8049197278911564,129.08238095238096,0.06106084379168625,72.47619047619048,149.52380952380952,2.0630749014454657,7.0,1.6050986596239585,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
14,34,54,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,,6.2,,484.0,,25.0,,,,,183.0,,,,10.1016/j.jallcom.2009.08.090,2009,34,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.23252129387380835,0.7674787061261916,,,,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,1391.63,1465.91,6708.360048724649,1.4569564034352959e-06,74.3254527198204,-3971.0173598931774,-98587.31867222453,0.27262813522355506,0.1818429661941112,0.1818429661941112,0.1818429661941112,,0.1818429661941112,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,6.702145508049363,182.56079607415487,9.851979280261725,1615.9075790621594,1.9652785257923455,129.7208942202835,0.06352011117215384,70.36968375136313,146.1913849509269,2.077476793379721,6.818702290076335,1.5942068711394362,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
16,38,54,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,,6.7,,484.0,,25.0,,,,,194.0,,,,10.1016/j.jallcom.2009.08.090,2009,38,Al1 Co1 Cr1 Fe1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.22126745146095653,0.7346867968088496,0.044045751730193865,,,Al1 Co1 Cr1 Fe1 Ni1,1347.12,1406.68,7062.143540615294,3.4543338290717766e-07,77.6386083917439,5383.755516096053,-93450.19296659392,0.2,0.2,0.2,0.2,,0.2,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,7.1019443602773835,193.8,10.636,1684.064,1.601344,128.378,0.05766911951084501,74.80000000000003,153.2,2.048128342245989,7.200000000000001,1.6094379124341005,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
17,40,54,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,,8.2,,116.0,,25.0,,,,,225.0,,,,10.1016/j.jallcom.2009.08.090,2009,40,Co1 Cr1 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr1 Fe1 Ni1,1443.15,1446.49,7754.82119663362,0.0,87.01984222422941,35081.65101086715,-75694.60814057686,,0.25,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,8.202891950346727,224.75,12.795,1871.75,0.07347500000000008,124.68,0.0029767955662328197,87.0,172.5,1.9827586206896552,8.25,1.3862943611198906,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
18,42,63,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,,7.7,,425.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,,42,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,SIGMA#1,,,0.2937069043139236,0.20981536354264727,0.4964777321434291,,,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,1313.5,1654.62,7767.4194151781885,1.5383582077005966e-07,80.74945896592568,16119.849071766741,-86674.21219185668,0.1,0.2,0.2,0.2,,0.2,,,0.1,,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,7.854943459211284,219.7,21.436,1880.332,1.3279240000000003,127.687,0.04869863881807302,74.2,168.6,2.272237196765498,7.5,1.7480673485460896,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
19,43,63,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sec.,CAST,,6.6,,655.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,,43,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,SS+IM,BCC_B2#2,SIGMA#1,,,,0.5970511768428727,0.4029488231571273,,,,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,1380.51,1492.93,7021.8392499070715,3.386148888812786e-06,74.00922941620756,-3325.982824769795,-97539.73187160204,0.2499375156210947,0.16670832291927018,0.16670832291927018,0.16670832291927018,,0.16670832291927018,,,0.08322919270182454,,,,,,,,,,,,,,Other,0,0,0,0,0,0,0,1,6.995611598344152,194.7488127968008,18.187218195451134,1722.4486378405395,2.00655426815628,130.26513871532117,0.06213227265790349,66.17745563609097,153.16670832291928,2.314484696498172,6.750562359410147,1.7481085139688302,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
20,44,63,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,No Data,CAST,,6.3,,605.0,,25.0,,,,,185.0,,,,10.1007/s11837-013-0753-6,,44,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.0459433892719284,0.6424545730243263,0.3116020377037452,,,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,1375.62,1455.67,6628.499019839871,1.0561317831990552e-05,72.62594400243749,-7324.4371138604065,-99777.26382896332,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,,0.15384615384615385,,,0.07692307692307693,,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,6.664915122470218,185.15384615384616,16.950769230769232,1661.7907692307695,2.172151479289941,131.26000000000002,0.06477818881679458,63.076923076923094,147.23076923076925,2.334146341463414,6.461538461538463,1.711845135233912,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
21,45,63,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sec.,CAST,,7.1,,715.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,,45,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,SS+IM,BCC_B2#2,SIGMA#1,,,,0.5206924161692195,0.4793075838307805,,,,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,1349.41,1581.87,7442.321872590653,5.667399116531616e-07,76.4654990727172,3862.347659622258,-93478.23265994676,0.18181818181818185,0.18181818181818185,0.18181818181818185,0.18181818181818185,,0.18181818181818185,,,0.09090909090909093,,,,,,,,,,,,,,Other,0,0,0,0,0,0,0,1,7.386144417464802,206.0909090909091,19.66909090909091,1794.24,1.7429157024793394,129.09454545454545,0.057428255532700485,69.81818181818183,160.1818181818182,2.294270833333333,7.09090909090909,1.7677614722893296,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
22,46,63,Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sec.,CAST,,8.5,,210.0,,25.0,,,,,,,,,10.1007/s11837-013-0753-6,,46,Co1 Cr1 Fe1 Mo0.5 Ni1,SS+IM,FCC_L12#1,SIGMA#1,,,,0.5546489413324504,0.4453510586675497,,,,Co1 Cr1 Fe1 Mo0.5 Ni1,1404.09,1687.46,8165.841010798054,0.0,84.72241516696123,30787.137184898056,-77064.49732264357,,0.2222222222222222,0.2222222222222222,0.2222222222222222,,0.2222222222222222,,,0.1111111111111111,,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,8.427920065790314,236.3333333333333,23.595555555555553,1985.5555555555554,0.6752098765432103,125.96666666666664,0.029023765447213638,79.55555555555554,178.88888888888889,2.248603351955308,8.0,1.5810937501718236,129.0,3.03644374452574,1168.0,12.139999999999983,95.0,70.0,4.0
23,49,66,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,No Data,CAST,,5.6,,643.0,C,25.0,,1030.0,,5.0,94.0,,,,10.1016/j.msea.2008.12.053,2008,49,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,SS+IM,BCC_B2#1,BCC_B2#3,,,,0.12094505462241495,0.879054945377585,,,,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,1253.63,1374.45,5909.854211929797,1.6336491378978638e-05,71.63842252568898,-12983.012351547068,-104178.72422674917,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,,No Data,0,0,0,0,0,0,1,0,6.101393642947861,165.0,9.454285714285714,1613.52,2.777648979591837,133.03,0.0728374931516301,63.42857142857142,135.99999999999997,2.144144144144144,6.142857142857142,1.7478680974667573,209.0,6.2092815083459785,1246.6799999999996,22.03,89.0,104.0,7.0
24,52,1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,,7.2,,717.0,,25.0,,,,,,,,,10.1016/j.actamat.2011.06.041,2011,52,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.5110035415526345,0.4889964584473655,,,,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,1087.3,1124.69,7066.854118887017,4.153705978927355e-08,82.4449746672363,15264.355225508987,-89688.0975258828,0.03217223028543783,0.24189646831156264,0.16134494436381228,0.24189646831156264,,0.16134494436381228,,,,0.16134494436381228,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,7.536367249175937,198.96274794388003,13.47993710691824,1832.7952491533624,2.1945287339768464,128.76552249637155,0.06440911839216272,76.2469762941461,160.51959361393327,2.1052584825748326,7.596758587324624,1.680167195516283,209.0,6.2092815083459785,1246.6799999999996,22.03,89.0,104.0,7.0
25,53,1,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,,7.6,,487.0,,25.0,,,,,206.0,,,,10.1016/j.actamat.2011.06.041,2011,53,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,SS+IM,BCC_B2#2,FCC_L12#1,FCC_L12#2,,,0.12604846720168986,0.7858811534487115,0.08807037934959873,,,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,1103.21,1279.78,7364.454304791776,6.478607912129412e-08,84.92855048631003,21876.117580943,-86237.92718812967,0.035,0.2631578947368421,0.17552631578947367,0.2631578947368421,,0.17552631578947367,,,,0.08763157894736842,,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,7.803082733827487,206.25473684210525,13.69791052631579,1823.2846210526316,1.4782260419944602,127.23751842105258,0.053265368338635,79.08131578947369,164.95999999999995,2.0859541644343427,7.912894736842103,1.6441351977058725,209.0,6.2092815083459785,1246.6799999999996,22.03,89.0,104.0,7.0
26,54,1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Sec.,ANNEAL,,7.4,,654.0,,25.0,,,,,,,,,10.1016/j.actamat.2011.06.041,2011,54,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,SS+IM,BCC_B2#2,FCC_L12#1,NI3TI_D024#1,,,0.38631716555999307,0.5545015683181661,0.05918126612184081,,,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,1068.29,1116.26,7202.5596260865905,0.0,82.7895524759758,19010.172482432343,-86380.92781948486,,0.2499375156210947,0.16670832291927018,0.2499375156210947,,0.16670832291927018,,,,0.16670832291927018,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,7.697197632115303,203.24968757810544,13.86154961259685,1862.6953261684575,2.062394812931359,128.2866933266683,0.06233352167505873,77.91727068232943,163.32916770807302,2.09618697212804,7.749562609347662,1.5890775544104876,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
27,55,1,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,Other,ANNEAL,,7.8,,509.0,,25.0,,,,,211.0,,,,10.1016/j.actamat.2011.06.041,2011,55,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,SS+IM,FCC_L12#1,NI3TI_D024#1,,,,0.8967462784652896,0.1032537215347104,,,,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,1071.87,1292.98,7545.339277944187,0.0,85.35895347781289,26001.12498949936,-82660.82278775646,,0.2727024815925825,0.18189255522225253,0.2727024815925825,,0.18189255522225253,,,,0.09080992637032996,,,,,,,,,,,,,Other,0,0,0,0,0,0,0,1,7.9882355894585375,211.19661848922826,14.122187073902369,1855.5631306244888,1.2548774680150931,126.65965639487318,0.04870609641379599,81.00654485955822,168.1865284974093,2.0762091358049632,8.091082628851924,1.546549967531592,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
29,59,4,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,,5.6,,487.0,,25.0,,,,,165.0,,,,10.1016/j.jallcom.2008.07.124,2008,59,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,SS+IM,BCC_B2#1,BCC_B2#3,,,,0.20127864133280626,0.7987213586671937,,,,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,1401.73,1506.83,5997.293146596034,1.736945668314969e-05,70.87284108003837,-12962.070241093195,-103183.19693598204,0.3846153846153847,0.15384615384615388,0.15384615384615388,0.15384615384615388,,0.15384615384615388,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,6.085685046367217,165.23076923076928,8.643076923076926,1510.815384615385,2.327114792899409,131.7915384615385,0.06829098689383703,63.53846153846154,135.38461538461542,2.1307506053268765,6.230769230769233,1.519382664642301,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
30,61,4,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,,5.3,,506.0,,25.0,,,,,158.0,,,,10.1016/j.jallcom.2008.07.124,2008,61,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.17547858755552606,0.8245214124444739,,,,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,1371.99,1506.4,5714.667008772071,5.154820790771266e-05,69.87372829368621,-14743.525052681918,-103692.78117054443,0.4288164665523157,0.14279588336192112,0.14279588336192112,0.14279588336192112,,0.14279588336192112,,,,,,,,,,,,,,,,,BCC,1,0,0,0,0,0,0,0,5.842369673182608,158.39065180102918,8.165926243567753,1469.335763293311,2.403371966362548,132.60881646655233,0.0690386063355756,60.84219554030875,131.11921097770156,2.155070339150292,5.9987135506003435,1.4748069867344964,209.0,6.2092815083459785,1246.6799999999996,19.049999999999983,89.0,104.0,7.0
31,63,4,Al1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,,6.8,,342.0,,25.0,,,,,178.0,,,,10.1016/j.jallcom.2008.07.124,2008,63,Al1 Cr1 Cu1 Fe1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,,,,0.34430313230850224,0.6556968676914977,,,,Al1 Cr1 Cu1 Fe1 Ni1,1016.34,1402.74,6726.131439177198,6.665456231927194e-07,79.02702502112489,11550.515178874706,-89050.88767301722,0.2,,0.2,0.2,,0.2,,,,,0.2,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.122342465022478,178.0,6.436000000000001,1601.9879999999996,1.483424,128.918,0.05617021523372325,69.4,145.2,2.0922190201729105,7.6,1.6094379124341005,209.0,6.239398742616035,1246.6799999999996,19.049999999999983,89.0,104.0,8.0
33,65,4,Cr1 Cu1 Fe1 Mn1 Ni1,FCC+BCC,CAST,,8.1,,296.0,,25.0,,,,,204.0,,,,10.1016/j.jallcom.2008.07.124,2008,65,Co1 Cr1 Cu1 Fe1 Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,8.077623229648326,203.6,6.436,1719.1240000000007,0.06726400000000002,127.28399999999999,0.03195311166727643,64.2,154.0,2.398753894080997,8.4,1.6094379124341005,149.0,1.7458514978027564,822.3800000000001,10.879999999999995,115.0,60.0,5.0
34,66,4,Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,,8.7,,263.0,,25.0,,,,,230.0,,,,10.1016/j.jallcom.2008.07.124,2008,66,Cr1 Cu1 Fe1 Mo1 Ni1,SS+IM,FCC_L12#1,FCC_L12#2,MU_PHASE#1,P_PHASE#1,,0.19930722347957835,0.2544898389684749,0.19739430219023624,0.3488086353617107,,Cr1 Cu1 Fe1 Mo1 Ni1,1123.0,2107.88,8383.807530207021,0.0,79.81752434851235,32155.766563104615,-69451.9419325516,,,0.2,0.2,,0.2,,,0.2,,0.2,,,,,,,,,,,,FCC,0,0,0,1,0,0,0,0,8.628340662890281,229.8,28.035999999999998,1994.5240000000006,0.9507200000000008,127.536,0.035660553863499346,68.2,176.0,2.5806451612903225,8.2,1.6094379124341005,199.0,3.03644374452574,1538.38,12.139999999999983,95.0,90.0,5.0
38,87,9,Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,FCC+BCC,CAST,,7.3,,270.0,,25.0,,,,,187.0,,,,10.1002/adem.200900171,,87,Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,LIQUID#1,SIGMA#1,,0.21407671493089914,0.2450971375452969,0.4728272006864761,0.06799894683732784,,Al0.8 Co1 Cr1 Cu1 Fe1 Ni1,991.99,1339.16,4923.671191990666,2.562923086657564e-07,83.6349463846596,19228.537015009977,-87238.74973266169,0.13793103448275862,0.1724137931034483,0.1724137931034483,0.1724137931034483,,0.1724137931034483,,,,,0.1724137931034483,,,,,,,,,,,,FCC+BCC,0,0,0,0,1,0,0,0,7.570283404138437,187.0689655172414,10.306896551724137,1653.6682758620689,1.171892984542212,127.76827586206898,0.04912241720551504,71.86206896551724,153.58620689655174,2.1372360844529754,8.0,1.7886363384232995,209.0,6.239398742616035,1246.6799999999996,19.049999999999983,89.0,104.0,8.0
39,88,9,Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,BCC+Sec.,CAST,,7.0,,801.0,,25.0,,,,,,,,,10.1002/adem.200900171,,88,Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,SS+IM,BCC_B2#2,SIGMA#1,,,,0.5027426511619473,0.4972573488380527,,,,Al1 Co0.5 Cr1 Fe1 Mo0.5 Ni1,1341.38,1562.51,7264.884005903526,1.3599532960599616e-06,75.91126891214056,3623.758696776615,-93011.28662837828,0.2,0.1,0.2,0.2,,0.2,,,0.1,,,,,,,,,,,,,,BCC+Sec.,0,0,1,0,0,0,0,0,7.241202637322228,205.80000000000004,18.836,1796.864,1.8037810000000003,129.494,0.05916744424032184,69.30000000000001,158.2,2.2828282828282824,6.9,1.7480673485460896,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
40,89,9,Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,BCC+Sec.,CAST,,7.2,,741.0,,25.0,,,,,,,,,10.1002/adem.200900171,,89,Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,SS+IM,BCC_B2#2,SIGMA#1,,,,0.5398027052848621,0.4601972947151381,,,,Al0.667 Co1 Cr0.667 Fe0.667 Mo0.333 Ni0.667,1344.53,1576.72,7547.869105260207,2.8557786648312343e-07,77.18368355254918,5367.834803101788,-92886.99435929334,0.16670832291927018,0.2499375156210947,0.16670832291927018,0.16670832291927018,,0.16670832291927018,,,0.08322919270182454,,,,,,,,,,,,,,BCC+Sec.,0,0,1,0,0,0,0,0,7.506423129683957,206.3176705823544,20.351177205698573,1791.9183804048985,1.6763561068493191,128.7611872031992,0.05579082446942028,70.25568607848038,161.822544363909,2.3033373296382327,7.2499375156210935,1.7481085139688302,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
41,90,9,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,FCC+BCC+Sec.,CAST,200.0,7.3,,586.0,,25.0,,,,,,,,,10.1002/adem.200900171,,90,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,SS+IM,BCC_B2#2,SIGMA#1,,,,0.5569979832004766,0.4430020167995235,,,,Al0.5 Co1 Cr0.5 Fe0.5 Mo0.25 Ni0.5,1341.67,1562.05,7617.365961521985,1.8084845812894952e-07,78.08317160373916,7583.962205305846,-91815.9152462541,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,,0.15384615384615385,,,0.07692307692307693,,,,,,,,,,,,,,FCC+Sec.,0,0,0,0,0,1,0,0,7.609131771530302,206.53846153846158,20.950769230769232,1790.203076923077,1.6090071005917164,128.48000000000002,0.054251393736769134,70.61538461538461,163.23076923076925,2.3115468409586057,7.384615384615384,1.711845135233912,259.0,7.529990989339018,1962.68,19.049999999999983,95.0,154.0,7.0
