,level_0,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Delta_SS,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
111,314,1242,187,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC,WROUGHT,,,,107.0,T,62.0,169.0,,98.0,,16.6,,,,10.1016/j.matchar.2019.109792,2019,1242,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,SS+IM,FCC_L12#1,FCC_L12#2,,,,0.0008859473173905316,0.9991140526826094,,,,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,1007.28,1305.04,7544.3363449365725,9.174956289097656e-08,84.7156290910998,28025.159398775748,-79817.83643419425,0.0625,,0.20833333333333331,0.4166666666666667,,0.20833333333333331,,,,,0.10416666666666667,,,,,,,,,,,,681.6204196416512,FCC,0,0,0,1,0,0,0,0,7.950346596281323,203.33333333333334,8.600000000000001,1751.2095833333335,0.6375249565972224,126.054375,0.03598187618046354,79.33333333333334,163.08333333333334,2.055672268907563,8.416666666666668,1.4272557242592334,209.0,6.239398742616034,1246.6799999999998,19.049999999999983,89.0,104.0,8.0
112,315,1288,190,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,90.0,,,263.0,T,25.0,540.0,772.0,60.0,,,,,,10.1016/j.msea.2019.138181,msea,1288,Co1 Cr1 Fe1 Ni1 Ti0.3,SS+IM,FCC_L12#1,NI3TI_D024#1,,,,0.962461781013916,0.037538218986083866,,,,Co1 Cr1 Fe1 Ni1 Ti0.3,1080.33,1319.0,7492.38687866581,0.0,86.45274561663759,29917.170658605213,-80137.17451137444,,0.2325581395348837,0.2325581395348837,0.2325581395348837,,0.2325581395348837,,,,0.06976744186046513,,,,,,,,,,,,,942.6244126642133,FCC,0,0,0,1,0,0,0,0,7.944681793293336,217.1627906976744,12.669767441860467,1876.581395348837,0.9785722011898328,126.17790697674417,0.04344091909584243,84.0,168.13953488372093,2.0016611295681064,7.953488372093022,1.5426131253269075,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
113,316,1291,190,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,90.0,,,308.0,T,25.0,586.0,875.0,46.0,,,,,,10.1016/j.msea.2019.138181,msea,1291,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,SS+IM,FCC_L12#1,NI3TI_D024#1,,,,0.8246303720095032,0.1753696279904967,,,,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,1134.13,1315.92,7608.169746603513,0.0,83.80478098517605,26595.723168002914,-80087.7630261262,,0.11614928496686433,0.2326473665852808,0.3487966515521451,,0.2326473665852808,,,,0.06975933031042902,,,,,,,,,,,,,947.7375857168996,FCC,0,0,0,1,0,0,0,0,7.952839172146654,216.123822811301,11.038388559469828,1871.9710498779214,0.9881367280927543,126.11835019183816,0.043570926895992124,84.12068364143705,168.13742588071156,1.9987643775863069,8.069410533658878,1.4816869270948543,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
114,317,1292,190,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,90.0,,,335.0,T,25.0,672.0,982.0,37.0,,,,,,10.1016/j.msea.2019.138181,msea,1292,Cr0.5 Fe0.5 Ni1 Ti0.15,SS+IM,FCC_L12#1,NI3TI_D024#1,,,,0.7935724483462964,0.20642755165370355,,,,Cr0.5 Fe0.5 Ni1 Ti0.15,1181.89,1302.27,7682.244495181504,0.0,81.06119589860768,25180.439661418597,-78010.462717509,,,0.2325581395348837,0.4651162790697674,,0.2325581395348837,,,,0.06976744186046513,,,,,,,,,,,,,952.837888170784,FCC,0,0,0,1,0,0,0,0,7.961396511771341,215.06976744186048,9.413953488372092,1867.2790697674418,0.997808545159546,126.05930232558138,0.04369985885380055,84.23255813953487,168.13953488372093,1.9961347321921592,8.186046511627907,1.2202190878571655,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
115,325,1344,193,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,,,,338.3,C,25.0,1160.0,,50.0,,,,,,10.1007/s40195-019-00921-3,,1344,Hf0.25 Ti1 V0.5 Zr0.5,SS,BCC_B2#1,,,,,1.0,,,,,Hf0.25 Ti1 V0.5 Zr0.5,1402.91,1458.11,6333.487562029297,0.0,89.15330976474236,35307.95406988422,-78184.20926063281,,,,,,,,,,0.4444444444444444,,,0.2222222222222222,0.2222222222222222,,,,0.1111111111111111,,,,,814.5946418610845,BCC,1,0,0,0,0,0,0,0,6.282935159522295,103.77777777777777,1758.2222222222222,2099.0444444444443,4.30711111111111,147.33888888888887,0.06946816965827106,40.666666666666664,116.44444444444443,2.863387978142076,4.222222222222222,1.2730283365896256,60.0,8.778626253132835,565.0,28.650000000000006,17.0,71.0,1.0
116,326,1347,193,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,,,,332.4,C,25.0,1115.0,,50.0,,,,,,10.1007/s40195-019-00921-3,,1347,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,SS,BCC_B2#1,,,,,1.0,,,,,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,1439.77,1497.99,6435.686981969064,0.0,90.08542109236508,35407.24648975777,-79271.49456082299,,,,,,,,0.05263157894736842,,0.42105263157894735,,,0.21052631578947367,0.21052631578947367,,,,0.10526315789473684,,,,,804.5836822378611,BCC,1,0,0,0,0,0,0,0,6.4037604120973715,103.84210526315788,1675.1578947368416,2133.3052631578944,4.086763988919666,147.10526315789474,0.06805710081654576,40.526315789473685,119.26315789473682,2.942857142857142,4.263157894736842,1.4122188958234037,60.0,8.778626253132835,809.0,28.650000000000006,17.0,81.0,1.0
117,327,1348,193,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,,,,322.5,C,25.0,1065.0,,50.0,,,,,,10.1007/s40195-019-00921-3,,1348,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,SS,BCC_B2#1,,,,,1.0,,,,,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,1472.4,1540.78,6528.121133767616,0.0,90.37496757156485,35448.226229155116,-79599.1074894469,,,,,,,,0.1,,0.4,,,0.2,0.2,,,,0.1,,,,,793.929736997789,BCC,1,0,0,0,0,0,0,0,6.512503139414941,103.9,1600.4,2164.14,3.8878489999999992,146.895,0.06672117039983029,40.400000000000006,121.8,3.0148514851485144,4.3,1.4708084763221114,60.0,8.778626253132835,809.0,28.650000000000006,17.0,81.0,1.0
118,328,1351,193,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,,,,318.9,C,25.0,1025.0,,50.0,,,,,,10.1007/s40195-019-00921-3,,1351,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,SS,BCC_B2#1,,,,,1.0,,,,,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,1501.6,1584.72,6612.1313912905225,0.0,90.45347692502344,35445.144200712726,-79702.13192484214,,,,,,,,0.14285714285714285,,0.3809523809523809,,,0.19047619047619047,0.19047619047619047,,,,0.09523809523809523,,,,,782.896420387356,BCC,1,0,0,0,0,0,0,0,6.610889416511789,103.95238095238095,1532.7619047619048,2192.038095238095,3.7073863945578216,146.7047619047619,0.06545503578613143,40.285714285714285,124.09523809523809,3.0803782505910164,4.333333333333333,1.5012834639366597,60.0,8.778626253132835,809.0,28.650000000000006,17.0,81.0,1.0
119,329,1352,193,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,,,,310.4,C,25.0,980.0,,50.0,,,,,,10.1007/s40195-019-00921-3,,1352,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,SS,BCC_B2#1,,,,,1.0,,,,,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,1528.02,1628.11,6688.823272517031,0.0,90.41746929766224,35408.7367225845,-79692.70169333952,,,,,,,,0.18181818181818185,,0.3636363636363637,,,0.18181818181818185,0.18181818181818185,,,,0.09090909090909093,,,,,771.6735679511647,BCC,1,0,0,0,0,0,0,0,6.700331486599834,103.99999999999999,1471.2727272727273,2217.4,3.5429239669421477,146.53181818181818,0.06425363684289474,40.18181818181818,126.18181818181819,3.14027149321267,4.363636363636364,1.5157079520857129,60.0,8.778626253132835,809.0,28.650000000000006,17.0,81.0,1.0
120,336,1433,207,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,No Data,POWDER,,,7.5,457.0,C,25.0,1616.0,,,4.5,,,,,10.1016/j.vacuum.2019.04.043,2019,1433,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,SS+IM,FCC_L12#1,FCC_L12#2,,,,0.030920501431847394,0.9690794985681526,,,,C0.1 Co1 Cr1 Fe1 Mn1 Ni1 Ti0.1,1241.91,1268.66,7315.483735980044,0.0,88.67185264672302,29833.235064453358,-83046.03335482505,,0.19230769230769235,0.19230769230769235,0.19230769230769235,,0.19230769230769235,0.19230769230769235,,,0.01923076923076924,,0.01923076923076924,,,,,,,,,,,939.5032916364667,No Data,0,0,0,0,0,0,1,0,7.8775701219497165,213.19230769230774,10.900000000000002,1860.4423076923083,0.399030880177515,126.16634615384618,0.06650941257751108,67.76923076923077,158.5192307692308,2.3391032917139616,7.846153846153848,1.7372195907025374,279.0,6.636925111370555,3223.0,68.85000000000001,115.0,147.0,6.0
