,level_0,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Delta_SS,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
121,337,1448,208,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,No Data,,,,,747.0,C,25.0,2473.0,,,,,,,,10.1016/j.msea.2019.05.056,2019,1448,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,C14_LAVES#1,,,0.07685433271002014,0.4920175029316927,0.4311281643582872,,,Al1 Co1 Cr1 Fe1 Nb0.75 Ni1,1262.73,1567.71,7604.861784161758,5.149264885120388e-07,77.1444210499028,1387.6527471557151,-96817.19524937056,0.17391304347826084,0.17391304347826084,0.17391304347826084,0.17391304347826084,,0.17391304347826084,,0.13043478260869565,,,,,,,,,,,,,,,1250.0125780889387,No Data,0,0,0,0,0,0,1,0,7.294553568734518,182.2173913043478,32.726956521739126,1823.0991304347826,2.6381361058601134,130.27217391304347,0.06494524766264574,70.0,155.3913043478261,2.2198757763975157,6.913043478260869,1.786723603389926,209.0,6.209281508345979,1816.6799999999998,19.049999999999983,89.0,104.0,7.0
122,341,1482,211,Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,No Data,WROUGHT,,,,142.5,T,25.0,777.0,810.0,3.4,,,,,,10.1016/j.msea.2019.05.003,2019,1482,Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,SS+IM,CR2NI2SI#1,FCC_L12#1,FCC_L12#2,,,0.023213417762326875,0.3693076784231809,0.6074789038144922,,,Co0.139 Cr0.446 Cu0.99 Ni1 Si0.277,1166.86,2395.69,7701.432907562515,0.0,78.37904721871753,16966.510346690528,-82810.01676273691,,0.04873772791023843,,0.3506311360448807,0.09712482468443198,0.1563814866760168,,,,,0.34712482468443195,,,,,,,,,,,,338.52313829520193,No Data,0,0,0,0,0,0,1,0,8.007130497099856,173.63394109396913,10.305049088359045,1668.0837307152872,2.398824701582414,124.87687938288919,0.02763065832503477,64.94915848527349,155.2173913043478,2.389829135962426,9.090112201963532,1.3986333722777022,232.0,6.608738480592818,822.3800000000001,12.5,115.0,80.0,7.0
123,342,1492,213,Al1 Co1 Cu1 Fe1 Ni0.5,No Data,CAST,,,,430.9,C,25.0,929.0,,13.7,,,,,,10.1016/j.jmst.2018.12.014,2018,1492,Al1 Co1 Cu1 Fe1 Ni0.5,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.8365067043518517,0.1634932956481483,,,,Al1 Co1 Cu1 Fe1 Ni0.5,1029.65,1371.34,7186.303128889431,6.040347258549343e-07,77.74892447296794,3934.5521083700733,-95039.82874571813,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,,,,,,,0.2222222222222222,,,,,,,,,,,,975.4594077929806,No Data,0,0,0,0,0,0,1,0,7.2893012322259265,160.0,9.817777777777776,1496.431111111111,1.6966395061728394,129.4411111111111,0.057594348683713256,59.77777777777777,145.77777777777777,2.438661710037175,8.0,1.5810937501718236,141.0,6.239398742616034,877.68,19.049999999999983,56.0,104.0,8.0
124,343,1493,213,Al1 Co1 Cu1 Fe1 Ni0.8,No Data,CAST,,,,420.0,C,25.0,1021.0,,12.3,,,,,,10.1016/j.jmst.2018.12.014,2018,1493,Al1 Co1 Cu1 Fe1 Ni0.8,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.8585434340046226,0.14145656599537745,,,,Al1 Co1 Cu1 Fe1 Ni0.8,1026.2,1354.2,7297.110080867154,2.4025818016961625e-07,78.37999156521073,4279.930081592869,-95497.79918092037,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.16666666666666669,,,,,,,0.20833333333333331,,,,,,,,,,,,974.7802628245621,No Data,0,0,0,0,0,0,1,0,7.39043462448343,162.50000000000003,10.079166666666667,1510.9041666666667,1.6494539930555554,129.13791666666668,0.05663121284873225,60.79166666666667,147.91666666666669,2.4331734064427692,8.125,1.6058065097995469,141.0,6.239398742616034,877.68,19.049999999999983,56.0,104.0,8.0
125,344,1495,213,Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,No Data,CAST,,,,323.8,C,25.0,680.0,,35.9,,,,,,10.1016/j.jmst.2018.12.014,2018,1495,Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,FCC_L12#2,,,0.7307520310955304,0.07599150799041211,0.19325646091405735,,,Al0.667 Co0.667 Cu0.667 Fe0.667 Ni1,1028.77,1300.34,7379.647824800164,8.425999098816419e-08,80.74176657124633,7996.645828547403,-94787.62301664916,0.1818429661941112,0.1818429661941112,0.1818429661941112,0.27262813522355506,,,,,,,0.1818429661941112,,,,,,,,,,,,963.6064510861219,No Data,0,0,0,0,0,0,1,0,7.583326994230839,167.26826608505996,10.577715376226827,1538.5087186477645,1.5376997421404608,128.55963195201744,0.05443743277755599,62.725463467829876,151.99618320610688,2.4231974512880474,8.363413304253,1.5942068711394357,141.0,6.239398742616034,877.68,19.049999999999983,56.0,104.0,8.0
126,345,1496,213,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,No Data,CAST,,,,299.2,C,25.0,544.0,,,,,,,,10.1016/j.jmst.2018.12.014,2018,1496,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.5762862606522826,0.4237137393477174,,,,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,1074.83,1287.28,7417.736067628784,6.908998503790563e-08,81.87187803779713,10330.944994279896,-93891.95574783583,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,,,,,0.16666666666666666,,,,,,,,,,,,950.5448772306244,No Data,0,0,0,0,0,0,1,0,7.69383480125594,169.99999999999997,10.863333333333333,1554.3233333333333,1.4608138888888889,128.22833333333332,0.05294782922903416,63.83333333333333,154.33333333333331,2.4177545691906004,8.5,1.5607104090414063,141.0,6.239398742616034,877.68,19.049999999999983,56.0,104.0,8.0
127,346,1497,213,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,FCC,CAST,,,,279.6,C,25.0,268.0,,,,,,,,10.1016/j.jmst.2018.12.014,2018,1497,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.3315966843260506,0.6684033156739494,,,,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,1128.33,1322.18,7540.610519244467,5.461700103410783e-08,82.51425946651545,13089.776784220401,-91950.87551665377,0.14279588336192112,0.14279588336192112,0.14279588336192112,0.4288164665523157,,,,,,,0.14279588336192112,,,,,,,,,,,,918.4526879911034,FCC,0,0,0,1,0,0,0,0,7.867652398240535,174.29674099485422,11.312581475128646,1579.1981217838766,1.320921531643419,127.70723413379076,0.05021143167395247,65.57590051457976,158.00943396226415,2.4095655983730375,8.71483704974271,1.4748069867344962,141.0,6.239398742616034,877.68,19.049999999999983,56.0,104.0,8.0
128,347,1498,101,Al0.5 Cr1 Fe1 Mn1 Ni1,No Data,CAST,,,,353.0,C,25.0,1091.0,,50.0,,,,,,10.1016/j.msea.2019.04.104,2019,1498,Al0.5 Cr1 Fe1 Mn1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.07025334672426416,0.4624450371898575,0.4673016160858784,,,Al0.5 Cr1 Fe1 Mn1 Ni1,1294.27,1450.35,6918.382690371463,4.804086396082794e-07,79.31737517459845,13642.048414883264,-87328.97018238058,0.1111111111111111,,0.2222222222222222,0.2222222222222222,,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,855.0138361433462,No Data,0,0,0,0,0,0,1,0,7.288808979027911,205.1111111111111,5.817777777777778,1712.1466666666665,0.9251654320987653,128.93444444444444,0.05123392369635744,63.55555555555556,148.44444444444443,2.3356643356643354,7.222222222222222,1.5810937501718234,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,115.0,104.0,7.0
129,348,1499,101,Al0.6 Cr1 Fe1 Mn1 Ni1,No Data,CAST,,,,361.0,C,25.0,1130.0,,53.0,,,,,,10.1016/j.msea.2019.04.104,2019,1499,Al0.6 Cr1 Fe1 Mn1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.19651342717236084,0.4775950661510264,0.3258915066766127,,,Al0.6 Cr1 Fe1 Mn1 Ni1,1315.17,1464.5,6779.766261640223,7.55365283533557e-07,79.4811983083944,12455.120092927827,-88724.44535365824,0.13043478260869565,,0.2173913043478261,0.2173913043478261,,0.2173913043478261,0.2173913043478261,,,,,,,,,,,,,,,,881.9258671422219,No Data,0,0,0,0,0,0,1,0,7.18901213165774,202.17391304347828,5.734782608695653,1695.215652173913,1.0497996219281664,129.24391304347827,0.05304311949594176,62.73913043478261,146.8695652173913,2.340956340956341,7.130434782608697,1.592685732681918,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,115.0,104.0,7.0
130,349,1500,101,Al0.7 Cr1 Fe1 Mn1 Ni1,No Data,CAST,,,,375.0,C,25.0,1170.0,,55.0,,,,,,10.1016/j.msea.2019.04.104,2019,1500,Al0.7 Cr1 Fe1 Mn1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.34612043674497983,0.4848729016793326,0.1690066615756875,,,Al0.7 Cr1 Fe1 Mn1 Ni1,1331.91,1475.34,6627.344909769358,1.0923959482671536e-06,80.1644163684562,12081.294915533777,-89968.00712151096,0.14893617021276595,,0.2127659574468085,0.2127659574468085,,0.2127659574468085,0.2127659574468085,,,,,,,,,,,,,,,,902.8197028454202,No Data,0,0,0,0,0,0,1,0,7.093461958643745,199.36170212765958,5.6553191489361705,1679.0051063829787,1.1631018560434585,129.54021276595745,0.05460577309501525,61.95744680851064,145.36170212765956,2.346153846153846,7.042553191489362,1.6006843088771008,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,115.0,104.0,7.0
131,350,1501,101,Al0.8 Cr1 Fe1 Mn1 Ni1,No Data,CAST,,,,386.0,C,25.0,1200.0,,55.0,,,,,,10.1016/j.msea.2019.04.104,2019,1501,Al0.8 Cr1 Fe1 Mn1 Ni1,SS+IM,BCC_B2#1,BCC_B2#2,SIGMA#1,,,0.5103729837699367,0.4821286166414715,0.007498399588591852,,,Al0.8 Cr1 Fe1 Mn1 Ni1,1345.22,1483.36,6467.2593103419385,1.4602641871544762e-06,81.24824977841672,12341.747816762829,-91087.27415116162,0.16666666666666669,,0.20833333333333331,0.20833333333333331,,0.20833333333333331,0.20833333333333331,,,,,,,,,,,,,,,,918.8161389254204,No Data,0,0,0,0,0,0,1,0,7.0018930428386685,196.66666666666669,5.5791666666666675,1663.4700000000003,1.2661493055555555,129.82416666666668,0.05596209847972087,61.20833333333334,143.91666666666669,2.3512593601089176,6.958333333333334,1.605806509799547,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,115.0,104.0,7.0
132,351,1502,102,Co1 Cr0.2 Fe1 Ni1 Si0.2,FCC,CAST,,,,130.1,T,25.0,225.0,732.0,61.0,,,,,,10.1016/j.jmmm.2019.01.096,2019,1502,Co1 Cr0.2 Fe1 Ni1 Si0.2,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr0.2 Fe1 Ni1 Si0.2,1371.93,1405.86,7775.5194094789185,0.0,86.6307441723418,24956.96703421462,-85323.97029717652,,0.2941176470588235,0.2941176470588235,0.2941176470588235,0.05882352941176471,0.05882352941176471,,,,,,,,,,,,,,,,,211.94754903598852,FCC,0,0,0,1,0,0,0,0,8.095285193512035,201.52941176470586,13.052941176470586,1788.35294117647,1.5786588235294121,124.07411764705881,0.0179463109220149,75.29411764705881,171.17647058823528,2.2734375,8.52941176470588,1.4131210683790687,232.0,6.578621246322763,493.0,9.799999999999997,115.0,80.0,6.0
133,363,1527,106,Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,No Data,CAST,,,,470.0,C,25.0,650.0,,50.0,,,,,,10.3390/e21030288,,1527,Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.5747656037573,No Data,0,0,0,0,0,0,1,0,8.987766520782467,203.76923076923075,4543.1884615384615,1849.730769230769,0.48356582840236717,127.54999999999998,0.041314286685581125,75.38461538461536,171.9230769230769,2.2806122448979598,8.538461538461538,1.710560083757924,158.0,5.238205297242797,661.0,13.419999999999987,115.0,60.0,4.0
134,364,1528,106,Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,No Data,CAST,,,,380.0,C,25.0,650.0,,46.0,,,,,,10.3390/e21030288,,1528,Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.6007777100357,No Data,0,0,0,0,0,0,1,0,8.93172175420272,203.55555555555554,4374.996296296296,1837.4814814814813,0.46614677640603597,127.82592592592593,0.041925096326164625,72.5925925925926,169.99999999999994,2.3418367346938767,8.481481481481481,1.7542723411164625,158.0,5.238205297242797,661.0,13.419999999999987,115.0,60.0,4.0
135,365,1529,106,Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,No Data,CAST,,,,180.0,C,25.0,650.0,,42.0,,,,,,10.3390/e21030288,,1529,Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.2581452783354,No Data,0,0,0,0,0,0,1,0,8.87968018523581,203.35714285714286,4218.817857142858,1826.107142857143,0.44993813775510233,128.08214285714286,0.04238169704802343,70.0,168.21428571428572,2.403061224489796,8.428571428571429,1.777497914573174,158.0,5.238205297242797,661.0,13.419999999999987,115.0,60.0,4.0
136,366,1530,106,Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,No Data,CAST,,,,160.0,C,25.0,650.0,,35.0,,,,,,10.3390/e21030288,,1530,Co1 Cr1 Fe1 Mo0.2 Ni1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.3258262560436,No Data,0,0,0,0,0,0,1,0,8.831227689990756,203.17241379310346,4073.4103448275864,1815.5172413793102,0.4348180737217601,128.3206896551724,0.04271523855705237,67.58620689655173,166.55172413793105,2.4642857142857144,8.379310344827587,1.7886363384232993,158.0,5.238205297242797,661.0,13.419999999999987,115.0,60.0,4.0
137,367,1532,109,Cr1 Fe1 Ni1 Ti0.2,No Data,CAST,,,,362.2,C,25.0,2297.94,,5.8,,,,,,10.1557/jmr.2019.40,2019,1532,Cr1 Fe1 Ni1 Ti0.2,SS+IM,BCC_B2#1,FCC_L12#1,NI3TI_D024#1,,,0.29900603471695864,0.5214026165823233,0.17959134870071802,,,Cr1 Fe1 Ni1 Ti0.2,1117.07,1310.99,7494.280131132174,0.0,80.83522038978269,28148.08344443501,-74755.15211175835,,,0.3125,0.3125,,0.3125,,,,0.0625,,,,,,,,,,,,,909.386931170755,No Data,0,0,0,0,0,0,1,0,7.773869225733119,222.875,7.93125,1908.5,0.8599433593750003,125.89062500000001,0.041626393412949665,88.0625,166.25,1.8878637331440737,7.75,1.263740679332812,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
138,368,1533,109,Cr1 Fe1 Ni1 Ti0.3,No Data,CAST,,,,510.3,C,25.0,2364.63,,,,,,,,10.1557/jmr.2019.40,2019,1533,Cr1 Fe1 Ni1 Ti0.3,SS+IM,BCC_B2#1,FCC_L12#1,NI3TI_D024#1,,,0.5289434343172315,0.16296534731794335,0.3080912183648253,,,Cr1 Fe1 Ni1 Ti0.3,1090.54,1309.61,7438.197113360325,0.0,78.78303105730471,23874.529126562204,-76416.2694093867,,,0.30303030303030304,0.30303030303030304,,0.30303030303030304,,,,0.09090909090909093,,,,,,,,,,,,,1104.000378525853,No Data,0,0,0,0,0,0,1,0,7.674718027960846,219.63636363636365,8.024242424242424,1909.4848484848485,1.1817382920110198,126.50454545454545,0.04916926469674012,86.72727272727273,164.54545454545456,1.8972746331236898,7.636363636363636,1.3033745415929743,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
139,369,1534,109,Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,,,,600.3,C,25.0,2475.41,,6.5,,,,,,10.1557/jmr.2019.40,2019,1534,Cr1 Fe1 Ni1 Ti0.4,SS+IM,BCC_B2#1,C14_LAVES#1,NI3TI_D024#1,,,0.5784440495988025,0.08540947954450802,0.3361464708566895,,,Cr1 Fe1 Ni1 Ti0.4,1090.54,1306.71,7376.367286805359,0.0,77.59995701825746,20905.23794601953,-77879.50733822219,,,0.29411764705882354,0.29411764705882354,,0.29411764705882354,,,,0.11764705882352942,,,,,,,,,,,,,1243.6612968477352,BCC,1,0,0,0,0,0,0,0,7.581399253586941,216.58823529411765,8.111764705882354,1910.4117647058824,1.4647439446366786,127.08235294117648,0.05483992930040877,85.47058823529412,162.94117647058823,1.9064005505849966,7.529411764705882,1.3315743412543692,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
140,370,1535,109,Cr1 Fe1 Ni1 Ti0.5,BCC,CAST,,,,709.6,C,25.0,2380.79,,,,,,,,10.1557/jmr.2019.40,2019,1535,Cr1 Fe1 Ni1 Ti0.5,SS+IM,BCC_B2#1,C14_LAVES#1,NI3TI_D024#1,,,0.4912743444833605,0.18629305540358806,0.3224326001130515,,,Cr1 Fe1 Ni1 Ti0.5,1090.92,1302.36,7321.895498672842,0.0,76.73679311401075,18445.738597968768,-79240.19903616693,,,0.2857142857142857,0.2857142857142857,,0.2857142857142857,,,,0.14285714285714285,,,,,,,,,,,,,1346.3810044695724,BCC,1,0,0,0,0,0,0,0,7.493412980605832,213.71428571428572,8.194285714285714,1911.2857142857142,1.7139387755102047,127.62714285714286,0.05929685661894681,84.28571428571428,161.42857142857142,1.9152542372881356,7.428571428571428,1.351783994289646,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
141,371,1536,109,Cr1 Fe1 Ni1 Ti0.6,BCC,CAST,,,,718.2,C,25.0,1923.15,,,,,,,,10.1557/jmr.2019.40,2019,1536,Cr1 Fe1 Ni1 Ti0.6,SS+IM,BCC_B2#1,C14_LAVES#1,NI3TI_D024#1,,,0.4137238021397097,0.27863846012920224,0.30763773773108805,,,Cr1 Fe1 Ni1 Ti0.6,1095.82,1296.77,7270.016036536075,0.0,75.89788831862191,16127.376628237287,-80490.63520136838,,,0.2777777777777778,0.2777777777777778,,0.2777777777777778,,,,0.16666666666666666,,,,,,,,,,,,,1422.6551436194025,BCC,1,0,0,0,0,0,0,0,7.4103148339014515,211.00000000000003,8.272222222222222,1912.111111111111,1.933569444444445,128.14166666666668,0.06289145472614555,83.16666666666667,160.0,1.9238476953907815,7.333333333333334,1.3660714494230626,163.0,4.40555580909786,452.0,22.03,71.0,70.0,6.0
142,372,1537,110,Al1 Cr1 Cu1 Fe1 Mn1,No Data,POWDER,,,,633.0,C,25.0,1010.0,,,,,,,,10.1557/jmr.2019.18,2019,1537,Al1 Cr1 Cu1 Fe1 Mn1,SS+IM,BCC_B2#1,LIQUID#1,,,,0.3776852913787739,0.6223147086212262,,,,Al1 Cr1 Cu1 Fe1 Mn1,974.59,1431.01,3405.438145723645,2.337265818096565e-05,83.7374743707055,23205.61596257769,-83392.1889113304,0.2,,0.2,,,0.2,0.2,,,,0.2,,,,,,,,,,,,799.6117211036807,No Data,0,0,0,0,0,0,1,0,6.835766927979132,177.6,4.0360000000000005,1560.1879999999999,1.267584,131.0,0.054916372209027335,54.2,133.2,2.457564575645756,7.0,1.6094379124341005,209.0,6.239398742616034,1246.6799999999998,19.049999999999983,115.0,94.0,8.0
143,373,1538,110,Al1 Cr1 Cu1 Fe1 Mn1 W0.05,No Data,POWDER,,,,680.0,C,25.0,1120.0,,,,,,,,10.1557/jmr.2019.18,2019,1538,Al1 Cr1 Cu1 Fe1 Mn1 W0.05,SS+IM,BCC_B2#1,LIQUID#1,,,,0.3811189887630775,0.6188810112369225,,,,Al1 Cr1 Cu1 Fe1 Mn1 W0.05,978.19,1762.21,3484.449600474235,2.329265349995748e-05,83.98509157347576,23452.90444266085,-83460.1171303738,0.19801980198019806,,0.19801980198019806,,,0.19801980198019806,0.19801980198019806,,,,0.19801980198019806,,,,,,,,0.0099009900990099,,,,809.0245447444572,No Data,0,0,0,0,0,0,1,0,6.960303282691814,179.91089108910893,4.233663366336634,1581.3247524752474,1.2838327614939713,131.05643564356436,0.05478978755320628,55.257425742574256,134.95049504950495,2.4422146568715286,6.990099009900991,1.649048958867011,341.0,16.715784753959873,2761.68,19.049999999999983,161.0,234.0,8.0
144,374,1539,110,Al1 Cr1 Cu1 Fe1 Mn1 W0.1,No Data,POWDER,,,,705.0,C,25.0,1250.0,,,,,,,,10.1557/jmr.2019.18,2019,1539,Al1 Cr1 Cu1 Fe1 Mn1 W0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.0673862473601,No Data,0,0,0,0,0,0,1,0,7.082397748096402,182.1764705882353,4.427450980392157,1602.0470588235298,1.2992037677816224,131.11176470588236,0.05466231236899532,56.294117647058826,136.66666666666669,2.4277255311738073,6.980392156862747,1.6743892670438891,341.0,16.715784753959873,2761.68,19.049999999999983,161.0,234.0,8.0
145,375,1540,110,Al1 Cr1 Cu1 Fe1 Mn1 W0.5,No Data,POWDER,,,,780.0,C,25.0,1510.0,,,,,,,,10.1557/jmr.2019.18,2019,1540,Al1 Cr1 Cu1 Fe1 Mn1 W0.5,SS+IM,BCC_B2#1,BCC_B2#2,BCC_B2#3,LIQUID#1,,0.03973920632434445,0.41660560089823934,0.045627209771630386,0.4980279830057859,,Al1 Cr1 Cu1 Fe1 Mn1 W0.5,995.75,2846.13,4755.638195174524,2.3468187905634116e-05,83.34222995812135,23859.77523374868,-82234.88350293977,0.18181818181818185,,0.18181818181818185,,,0.18181818181818185,0.18181818181818185,,,,0.18181818181818185,,,,,,,,0.09090909090909093,,,,878.7230034371959,No Data,0,0,0,0,0,0,1,0,7.979237093977381,198.81818181818184,5.850909090909091,1754.2618181818184,1.3951421487603308,131.5181818181818,0.053621992585996,63.90909090909091,149.27272727272728,2.3357041251778097,6.909090909090908,1.7677614722893296,341.0,16.715784753959873,2761.68,19.049999999999983,161.0,234.0,8.0
146,381,1554,114,Hf1 Ti1 Zr1,Other,CAST,,,,211.0,C,25.0,773.0,,17.0,,,,,,10.1007/s00339-019-2484-1,,1554,Hf1 Ti1 Zr1,SS,BCC_B2#1,,,,,1.0,,,,,Hf1 Ti1 Zr1,1731.36,1782.5500000000004,8157.330642137264,0.0,93.50720327751527,35145.06765919494,-83889.60211308202,,,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,,,,,338.98424600031575,Other,0,0,0,0,0,0,0,1,8.096268350828332,87.33333333333331,4593.666666666666,2191.5666666666666,2.177866666666665,154.71666666666667,0.03970436677176682,35.666666666666664,103.0,2.8878504672897196,4.0,1.0986122886681096,48.0,8.778626253132835,565.0,14.099999999999994,14.0,21.0,0.0
147,382,1555,114,Hf1 Sc1 Ti1 Zr1,Other,CAST,,,,233.0,C,25.0,1001.0,,21.9,,,,,,10.1007/s00339-019-2484-1,,1555,Hf1 Ti1 Zr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.84890746107214,Other,0,0,0,0,0,0,0,1,6.821466263121248,84.0,6945.25,2097.175,2.6252749999999994,157.0625,0.04262037215080613,34.0,91.5,2.6911764705882355,3.75,1.3862943611198906,48.0,10.283445952380955,692.0,17.94999999999999,15.0,53.0,1.0
148,383,1556,114,Hf1 Ti1 Y1 Zr1,Other,CAST,,,,241.0,C,25.0,554.0,,17.7,,,,,,10.1007/s00339-019-2484-1,,1556,Hf1 Ti1 Y1 Zr1,SS+IM,BCC_B2#1,HCP_A3#1,,,,0.8449433945263762,0.15505660547362374,,,,Hf1 Ti1 Y1 Zr1,1364.46,1547.42,8809.679438621726,0.0,92.29027963861708,34085.97783209665,-83399.54814786291,,,,,,,,,,0.25,,,,0.25,,,,0.25,,,,0.25,773.9362843909662,Other,0,0,0,0,0,0,0,1,7.190233204771149,81.5,3460.25,2092.425,11.299474999999997,161.075,0.07593090999608866,33.25,87.5,2.6315789473684212,3.75,1.3862943611198906,52.0,8.808378185781358,711.0,34.0,18.0,69.0,1.0
149,384,1557,114,Hf1 Sc1 Ti1 Y1 Zr1,Other,CAST,,,,256.0,C,25.0,793.0,,15.7,,,,,,10.1007/s00339-019-2484-1,,1557,Hf1 Ti1 Y1 Zr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.1025303137161,Other,0,0,0,0,0,0,0,1,6.351598563816918,80.0,5568.2,2036.74,9.080383999999999,161.68,0.0680731757293668,32.4,81.4,2.512345679012346,3.6000000000000005,1.6094379124341005,52.0,10.283445952380955,711.0,34.0,18.0,69.0,1.0
150,385,1559,116,Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,No Data,CAST,,,,305.4,C,25.0,1129.4,,16.7,,,,,,10.1007/s00339-019-2506-z,,1559,Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.545739421459744,0.4542605785402561,,,,Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,1370.62,1390.84,7337.692178793163,1.227054910695267e-07,80.30198355963529,7693.671349268962,-94530.75372214678,0.1798975672215109,0.3002560819462228,0.0998719590268886,0.3201024327784891,,0.0998719590268886,,,,,,,,,,,,,,,,,1080.6816813469572,No Data,0,0,0,0,0,0,1,0,7.4945420233035325,188.30409731113957,14.165224071702944,1650.4807426376442,1.5951744921806479,128.07064660691418,0.055266918596642435,71.19910371318821,158.2944942381562,2.2232652657513063,7.841229193341869,1.4946509578279032,209.0,6.209281508345979,1246.6799999999998,19.049999999999983,89.0,104.0,7.0
