,index,IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: doi,REFERENCE: year,Unnamed: 0.1,alloy_names,structure,phase_1,phase_2,phase_3,phase_4,phase_5,vol_phase1,vol_phase2,vol_phase3,vol_phase4,vol_phase5,alloy,density_kgm3,solidus,liquidus,Ac_Al,entropy_jmol,enthalpy_jmol,gibbs_jmol,Al,Co,Fe,Ni,Si,Cr,Mn,Nb,Mo,Ti,Cu,C,V,Zr,B,Sn,Ta,Hf,W,Zn,Re,Y,Delta_SS,Phase_Weight_Min,Phase_BCC,Phase_BCC+BCC,Phase_BCC+Sec.,Phase_FCC,Phase_FCC+BCC,Phase_FCC+Sec.,Phase_No Data,Phase_Other,Density,Modulus,Cost,Tm,Misfit,Rbar,delta,shear,bulk,pugh,VEC,SMIX,ModulusMX,DensityMX,TmMX,R_MX,shearMX,bulkMX,VECMX
264,910,151,Al0.544 C0.001 Co0.69 Fe1 Ni0.69,No Data,CAST,,,,,C,25.0,1202.0,,32.6,,,,,11067.0,10.1016/j.scriptamat.2018.09.008,2018,910,Al0.544 C0.001 Co0.69 Fe1 Ni0.69,SS+IM,BCC_B2#2,FCC_L12#1,,,,0.8373868696422858,0.16261313035771394,,,,Al0.544 C0.001 Co0.69 Fe1 Ni0.69,1359.96,1422.52,7410.914426324904,1.310861410792885e-07,78.4980125940975,5149.09993920606,-94778.87009308006,0.185982905982906,0.2358974358974359,0.3418803418803419,0.2358974358974359,,,,,,,,0.00034188034188034193,,,,,,,,,,,1095.7633332961018,No Data,0,0,0,0,0,0,1,0,7.381061041889668,181.63760683760682,10.349401709401706,1619.0454974358975,1.5719191580276135,127.98901880341879,0.05717642619949673,68.49025641025642,157.18871794871794,2.2950522627212546,7.776410256410258,1.3639495634444967,211.0,6.636925111370555,3808.68,65.86999999999999,82.0,147.0,7.0
265,912,153,Co0.5 Cr0.5 Fe1 Ni1,FCC,WROUGHT,14.9,,,,T,25.0,214.0,612.0,77.3,,,,,,10.1080/21663831.2018.1553803,2018,912,Co0.5 Cr0.5 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co0.5 Cr0.5 Fe1 Ni1,1445.67,1447.33,7849.978952069543,0.0,86.73232163351744,33916.568860196654,-76493.67657927105,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.16666666666666666,,,,,,,,,,,,,,,,,22.009073058440748,FCC,0,0,0,1,0,0,0,0,8.265978689844996,218.3333333333333,10.89333333333333,1837.6666666666665,0.07048888888888895,124.57166666666666,0.0029354114568373845,84.33333333333333,173.33333333333331,2.0553359683794463,8.5,1.3296613488547582,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
266,913,153,Co0.875 Cr0.625 Fe1 Ni1,FCC,WROUGHT,11.6,,,,T,25.0,241.0,721.0,96.2,,,,,,10.1080/21663831.2018.1553803,2018,913,Co0.875 Cr0.625 Fe1 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co0.875 Cr0.625 Fe1 Ni1,1452.46,1453.76,7844.093552543557,0.0,87.2560063962553,34312.484225980115,-76764.41191645287,,0.25,0.2857142857142857,0.2857142857142857,,0.17857142857142858,,,,,,,,,,,,,,,,,23.101819411985392,FCC,0,0,0,1,0,0,0,0,8.288638444920174,219.5,12.65857142857143,1842.428571428572,0.06936326530612251,124.64035714285713,0.0030433741755639203,84.42857142857143,173.57142857142856,2.0558375634517767,8.464285714285714,1.3700750361596656,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
267,914,153,Co1 Cr0.556 Fe0.667 Ni0.667,FCC,WROUGHT,10.5,,,,T,25.0,299.0,841.0,76.1,,,,,,10.1080/21663831.2018.1553803,2018,914,Co1 Cr0.556 Fe0.667 Ni0.667,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr0.556 Fe0.667 Ni0.667,1457.12,1458.34,7841.443508955645,0.0,87.4170026887503,34816.496414752175,-76465.34800802701,,0.3460207612456748,0.2307958477508651,0.2307958477508651,,0.1923875432525952,,,,,,,,,,,,,,,,,23.087118792516183,FCC,0,0,0,1,0,0,0,0,8.314629447834378,220.85155709342564,14.692754325259518,1847.956055363322,0.06784893959602982,124.71956055363323,0.003041528051871628,84.54186851211074,173.84429065743947,2.0563100120331037,8.422837370242215,1.3611140745885182,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
268,915,153,Co1 Cr0.455 Fe0.364 Ni0.364,No Data,WROUGHT,5.6,,,,T,25.0,392.0,746.0,20.3,,,,,,10.1080/21663831.2018.1553803,2018,915,Co1 Cr0.455 Fe0.364 Ni0.364,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr0.455 Fe0.364 Ni0.364,1458.46,1460.26,7844.67504115318,0.0,87.05906417494398,35474.64736793455,-75351.54132676915,,0.4580852038479157,0.16674301420064133,0.16674301420064133,,0.20842876775080169,,,,,,,,,,,,,,,,,21.3413098415792,No Data,0,0,0,0,0,0,1,0,8.345063245165935,222.42281264315162,17.066660558863948,1854.3728813559326,0.06577190798258067,124.81195144296841,0.002867175198896099,84.6710948236372,174.16399450297757,2.056947472638054,8.374713696747595,1.2818503999560975,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
269,916,153,Co1 Cr0.385 Fe0.154 Ni0.154,No Data,WROUGHT,6.2,,,,T,25.0,482.0,857.0,13.3,,,,,,10.1080/21663831.2018.1553803,2018,916,Co1 Cr0.385 Fe0.154 Ni0.154,SS,FCC_L12#1,,,,,1.0,,,,,Co1 Cr0.385 Fe0.154 Ni0.154,1455.16,1458.31,7857.630051462017,0.0,85.80410264083655,36364.083578070335,-72864.5390837146,,0.5906674542232724,0.09096278795038394,0.09096278795038394,,0.2274069698759599,,,,,,,,,,,,,,,,,16.510672822025136,No Data,0,0,0,0,0,0,1,0,8.381069147162941,224.28174837566456,19.87520378027171,1861.9645599527469,0.06289176830066065,124.92125812167751,0.0023649559044171685,84.82398109864148,174.54223272297702,2.057699137228687,8.317779090372122,1.0839116265357744,79.0,1.7157342635327018,452.0,0.9799999999999898,40.0,20.0,4.0
270,980,156,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,BCC,WROUGHT,,,,,T,25.0,1290.0,1415.0,1.1,,,,,,10.1016/j.msea.2019.01.112,2019,980,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,SS,FCC_L12#1,,,,,1.0,,,,,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,1292.56,1328.12,7433.962925932406,0.0,89.88879891806054,32868.39114489772,-81560.04987779338,,0.20606060606060608,0.1949843260188088,0.2089864158829676,,0.19895506792058515,0.1910135841170324,,,,,,,,,,,,,,,,503.05860742714407,BCC,1,0,0,0,0,0,0,0,8.076627776247847,219.3347962382445,10.903226750261233,1802.4319749216306,0.09252061944709226,126.65556530825495,0.032120192534903544,70.2060606060606,162.61024033437823,2.316185225757287,8.035109717868337,1.6088769251114263,81.0,1.7157342635327018,661.0,10.879999999999995,115.0,60.0,4.0
271,998,157,Mo1 Nb1 Ti1,BCC,OTHER,,,7.67,,C,23.0,1100.0,,,,,,,,10.1016/j.actamat.2019.06.032,2019,998,Mo1 Nb1 Ti1,SS,BCC_B2#1,,,,,1.0,,,,,Mo1 Nb1 Ti1,2559.32,2560.48,7662.1950188515575,0.0,81.76435421745484,22742.70202727984,-81343.32089154019,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,262.98782473320665,BCC,1,0,0,0,0,0,0,0,7.769546549011962,183.3333333333333,100.33333333333331,2529.0,0.4140222222222219,141.76999999999995,0.029032092945189387,34.0,169.99999999999997,4.999999999999999,5.0,1.0986122886681096,224.0,5.726265290090899,955.0,9.890000000000015,24.0,120.0,2.0
272,999,157,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,,,7.81,,C,23.0,882.0,,,,,,,,10.1016/j.actamat.2019.06.032,2019,999,Nb1 Ta0.3 Ti1 Zr1,SS,BCC_B2#1,,,,,1.0,,,,,Nb1 Ta0.3 Ti1 Zr1,1727.27,1924.37,7239.271543177071,0.0,89.0814226076243,34211.024309579036,-79189.6266699267,,,,,,,,0.30303030303030304,,0.30303030303030304,,,,0.30303030303030304,,,0.09090909090909093,,,,,,595.1806646447502,BCC,1,0,0,0,0,0,0,0,7.451539939541902,104.4848484848485,570.0,2365.3636363636365,2.2648870523415967,149.15151515151516,0.0498756569306442,41.12121212121213,130.0,3.1613854089904203,4.393939393939394,1.3033745415929745,118.0,12.175346107203493,1349.0,17.349999999999994,36.0,111.0,1.0
273,1000,157,Nb1 Ti1 Zr1,BCC,OTHER,,,6.63,,C,23.0,975.0,,,,,,,,10.1016/j.actamat.2019.06.032,2019,1000,Nb1 Ti1 Zr1,SS,BCC_B2#1,,,,,1.0,,,,,Nb1 Ti1 Zr1,1691.1,1824.75,6405.944998074842,0.0,87.14061315171575,33929.128697437205,-77000.87184469696,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,558.9036125928238,BCC,1,0,0,0,0,0,0,0,6.528971352850932,96.33333333333331,586.9999999999999,2272.9,2.404066666666665,149.76666666666662,0.05028249128770081,38.33333333333333,123.0,3.2086956521739136,4.333333333333333,1.0986122886681096,48.0,4.076735259200634,809.0,17.349999999999994,11.0,81.0,1.0
